ID,Title,Bids,Days Left to bid,Price,Type,Link,Category.1
18,Interior design consultation,52,6,34.0,Hourly,https://www.freelancer.com/projects/interior-design/interior-design-consultation-39393131,Other
19,Landscaping Business Website Creation,150,6,20.0,Hourly,https://www.freelancer.com/projects/website-design/landscaping-business-website-creation-39393130,Web Development
20,National Brand Social Media Strategist Needed,32,6,29.0,Hourly,https://www.freelancer.com/projects/social-media-marketing/national-brand-social-media-strategist,Networking
21,Copyright Audit for WordPress Images,35,6,16.0,Hourly,https://www.freelancer.com/projects/wordpress/copyright-audit-for-wordpress-images,Web Development
22,PHP LARAVEL FLUTTER EXPERIENCED DEVELOPER PERMANENT HOURLY,92,6,21.0,Hourly,https://www.freelancer.com/projects/php/php-laravel-flutter-experienced,Web Development
23,Financial Newsletter Research & Content Assistant,49,6,19.0,Hourly,https://www.freelancer.com/projects/articles/financial-newsletter-research-content,Mobile Development
24,Elegant Evening Mini Dresses,4,6,17.0,Hourly,https://www.freelancer.com/projects/fashion-design/elegant-evening-mini-dresses,Mobile Development
25,Cyclist Interview Videography,0,6,37.5,Hourly,https://www.freelancer.com/projects/video-production/cyclist-interview-videography,Software Engineering
26,Make small edits to photos,61,6,5.0,Hourly,https://www.freelancer.com/projects/photoshop/make-small-edits-photos,Other
27,Develop Advanced Web App with SAS,108,6,21.0,Hourly,https://www.freelancer.com/projects/php/develop-advanced-web-app-with,Web Development
28,Online Sales Boost Campaign,32,6,17.0,Hourly,https://www.freelancer.com/projects/advertising/online-sales-boost-campaign,Web Development
29,Advanced Excel & Financial Reporting Specialist,23,6,33.0,Hourly,https://www.freelancer.com/projects/accounting/advanced-excel-financial-reporting,Web Development
30,PDF Fillable Form Specialist,14,6,9.0,Hourly,https://www.freelancer.com/projects/pdf/pdf-fillable-form-specialist,Web Development
31,Portuguese Recording Project -- 67428,9,6,6.0,Hourly,https://www.freelancer.com/projects/translation/portuguese-recording-project-39392067,Networking
32,Comprehensive Digital Marketing Specialist,38,6,12.0,Hourly,https://www.freelancer.com/projects/facebook-marketing/comprehensive-digital-marketing-39392953,Web Development
33,Bilingual Medical Transcriptionist Needed,17,6,7.0,Hourly,https://www.freelancer.com/projects/transcription/bilingual-medical-transcriptionist,Web Development
34,In addition in Odoo Development,30,6,15.0,Hourly,https://www.freelancer.com/projects/python/desarrollo-adenda-odoo,Artificial Intelligence
35,Custom showcase site development - 05/09/2025 16:13 EDT,56,6,19.0,Hourly,https://www.freelancer.com/projects/graphic-design/veloppement-site-vitrine-sur-mesure,Web Development
36,Affiliate Marketing Website Setup,48,6,22.0,Hourly,https://www.freelancer.com/projects/internet-marketing/affiliate-marketing-website-setup,Web Development
37,Literature Translation: English to Spanish,92,6,18.0,Hourly,https://www.freelancer.com/projects/translation/literature-translation-english-spanish-39392937,Other
38,Minimalist Black and White Logo,15,6,2.0,Hourly,https://www.freelancer.com/projects/logo-design/minimalist-black-white-logo-39392932,UI/UX and Graphic Design
39,Contract Review for CEU Project,31,6,19.0,Hourly,https://www.freelancer.com/projects/legal/contract-review-for-ceu-project,Artificial Intelligence
40,"Update - Business Marketing (Cold Calling, Telemarketing & Business Development)",14,6,20.0,Hourly,https://www.freelancer.com/projects/telemarketing/update-business-marketing-cold-calling,Artificial Intelligence
41,Restore Disabled Meta Ad Account,15,6,34.0,Hourly,https://www.freelancer.com/projects/customer-support/restore-disabled-meta-account,Web Development
42,Link Work Email to Gmail,30,6,12.0,Hourly,https://www.freelancer.com/projects/email-handling/link-work-email-gmail,Artificial Intelligence
43,Entry-Level Property Manager Needed,25,6,30.0,Hourly,https://www.freelancer.com/projects/project-management/entry-level-property-manager-needed,Artificial Intelligence
44,Entry-Level Recruiter Needed,7,6,38.0,Hourly,https://www.freelancer.com/projects/human-resources/entry-level-recruiter-needed-39392843,Networking
45,Wolf Moon Empowerment Design,101,6,20.0,Hourly,https://www.freelancer.com/projects/graphic-design/wolf-moon-empowerment-design,UI/UX and Graphic Design
46,Entry-Level Recruiter Needed,7,6,29.0,Hourly,https://www.freelancer.com/projects/linkedin-recruiting/entry-level-recruiter-needed,Data Analysis
47,Instagram Content Writer for Tech Niche,35,6,12.0,Hourly,https://www.freelancer.com/projects/content-writing/instagram-content-writer-for-tech,Web Development
48,Talent Acquisition Assistant Needed,4,6,33.0,Hourly,https://www.freelancer.com/projects/human-resources/talent-acquisition-assistant-needed-39392830,Web Development
49,Talent Acquisition Assistant Needed,4,6,36.0,Hourly,https://www.freelancer.com/projects/human-resources/talent-acquisition-assistant-needed,Mobile Development
